Issue Type,Issue ID,Parent ID,Summary,Description,Epic Name,Prioridad MoSCoW,Fuente del requisito,Estado de verificación,Labels,Labels,Labels,Labels
Epic,1,,EPIC-01 — Gestión de la estructura productiva,Bloque funcional I de la §3.2 del ERS SIMPA v3.0. Agrupa los requisitos funcionales especificados en ese bloque.,EPIC-01 Gestión de la estructura productiva,,,,Bloque-I,,,
Epic,2,,EPIC-02 — Planificación y seguimiento de labores,Bloque funcional II de la §3.2 del ERS SIMPA v3.0. Agrupa los requisitos funcionales especificados en ese bloque.,EPIC-02 Planificación y seguimiento de labores,,,,Bloque-II,,,
Epic,3,,EPIC-03 — Registro operativo de campo,Bloque funcional III de la §3.2 del ERS SIMPA v3.0. Agrupa los requisitos funcionales especificados en ese bloque.,EPIC-03 Registro operativo de campo,,,,Bloque-III,,,
Epic,4,,EPIC-04 — Polinización asistida,Bloque funcional IV de la §3.2 del ERS SIMPA v3.0. Agrupa los requisitos funcionales especificados en ese bloque.,EPIC-04 Polinización asistida,,,,Bloque-IV,,,
Epic,5,,EPIC-05 — Diagnóstico asistido por IA,Bloque funcional V de la §3.2 del ERS SIMPA v3.0. Agrupa los requisitos funcionales especificados en ese bloque.,EPIC-05 Diagnóstico asistido por IA,,,,Bloque-V,,,
Epic,6,,EPIC-06 — Calidad de la fruta y relación con la extractora,Bloque funcional VI de la §3.2 del ERS SIMPA v3.0. Agrupa los requisitos funcionales especificados en ese bloque.,EPIC-06 Calidad de la fruta y relación con la extractora,,,,Bloque-VI,,,
Epic,7,,"EPIC-07 — Reportes, estimación e histórico",Bloque funcional VII de la §3.2 del ERS SIMPA v3.0. Agrupa los requisitos funcionales especificados en ese bloque.,"EPIC-07 Reportes, estimación e histórico",,,,Bloque-VII,,,
Story,8,1,RF-01 — Autenticación y control de acceso por rol,"El sistema debe permitir el inicio de sesión y restringir las funciones disponibles según el rol de la persona usuaria (administrador general, administrador/asesor técnico, asistente de administración, jefe de polinización, trabajador agrícola).  ||  HISTORIA HU-01: Como persona trabajadora del cultivo, quiero acceder al sistema con mis credenciales, para usar únicamente las funciones que corresponden a mi labor.  ||  ENTRADAS/SALIDAS: Entrada: credenciales de acceso. Salida: sesión activa con menú correspondiente al rol, o mensaje de error.  ||  PRE/POST: Pre: la persona usuaria está registrada y activa. Post: accede únicamente a las funciones autorizadas para su rol.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Una cuenta con rol trabajador agrícola no puede acceder a ninguna función de administración; el acceso se concede exclusivamente con credenciales válidas.",,Must,"Administrador general - EV-01, EV-07, EV-09",Pendiente de verificación,Bloque-I,CU:CU-11,MU:MU-01,PRUEBA:CP-01
Sub-task,9,8,"HU-01/CA-01 — Verificar criterio de aceptación (Gherkin, §5.2 del ERS)","CA-01: Dado que existe una cuenta con rol ""trabajador agrícola"", cuando inicia sesión, entonces el menú no presenta ninguna opción de administración y un intento de acceso directo a esa ruta es rechazado.",,Must,"Administrador general - EV-01, EV-07, EV-09",Pendiente de verificación,Bloque-I,PRUEBA:CP-01,,
Sub-task,10,8,RF-01 — Verificar criterio de verificación de la ficha (§3.2 del ERS),Una cuenta con rol trabajador agrícola no puede acceder a ninguna función de administración; el acceso se concede exclusivamente con credenciales válidas.,,Must,"Administrador general - EV-01, EV-07, EV-09",Pendiente de verificación,Bloque-I,PRUEBA:CP-01,,
